Ano de Publicação;Título do Artigo;Nome do Autor;Categoria do Autor
2021;Exploring model transfer strategies for sentiment analysis in Twitter;Eliseu Guimarães;Aluno
2021;Exploring model transfer strategies for sentiment analysis in Twitter;Jonnathan Carvalho;Professor
2021;Exploring model transfer strategies for sentiment analysis in Twitter;Aline Paes;Professor
2021;Exploring model transfer strategies for sentiment analysis in Twitter;Alexandre Plastino;Professor
2021;Análise de Variáveis em Partidas de Futebol: Previsão de Resultados com Naïve Bayes e Poisson;Rodrigo Sehnem;Aluno
2021;Análise de Variáveis em Partidas de Futebol: Previsão de Resultados com Naïve Bayes e Poisson;Rejane Frozza;Professor
2021;Análise de Variáveis em Partidas de Futebol: Previsão de Resultados com Naïve Bayes e Poisson;Daniela Duarte da Silva Bagatini;Professor
2021;Análise de Variáveis em Partidas de Futebol: Previsão de Resultados com Naïve Bayes e Poisson;Daniela Saccol Peranconi;Professor
2021;Comparison of GANs for Covid-19 X-ray classification;Luiz Felipe Cavalcanti;Aluno
2021;Comparison of GANs for Covid-19 X-ray classification;Lilian Berton;Professor
2021;Assessment of text clustering approaches for legal documents;Ingrid L. A. da Silva;Aluno
2021;Assessment of text clustering approaches for legal documents;Rafael Ferreira Mello;Professor
2021;Assessment of text clustering approaches for legal documents;Péricles B. C. Miranda;Professor
2021;Assessment of text clustering approaches for legal documents;André C. A. Nascimento;Professor
2021;Assessment of text clustering approaches for legal documents;Isabel W. S. Maldonado;Professor
2021;Assessment of text clustering approaches for legal documents;José L. M. Coelho Filho;Professor
2021;Classification of chest X-ray images using Machine Learning and Histogram of Oriented Gradients;Fellipe M. C. Barbosa;Aluno
2021;Classification of chest X-ray images using Machine Learning and Histogram of Oriented Gradients;Anne Magaly de P. Canuto;Professor
2021;Machine Learning for Prognosis of Patients with COVID-19: An Early Days Analysis;José Solenir L. Figuerêdo;Aluno
2021;Machine Learning for Prognosis of Patients with COVID-19: An Early Days Analysis;Renata F. Araújo-Calumby;Professor
2021;Machine Learning for Prognosis of Patients with COVID-19: An Early Days Analysis;Rodrigo T. Calumby;Professor
